instance,noise,seed,cmax,delta_heldout__mitigated_only,win_legacy__mitigated_only,win_v2__mitigated_only,changed__mitigated_only,gap__mitigated_only,tie_practical__mitigated_only,tie_statistical__mitigated_only,mc_scale__mitigated_only,delta_heldout__incl_unmitigated,win_legacy__incl_unmitigated,win_v2__incl_unmitigated,changed__incl_unmitigated,gap__incl_unmitigated,tie_practical__incl_unmitigated,tie_statistical__incl_unmitigated,mc_scale__incl_unmitigated
octahedron,dev_lagos,8,8,0.007226946954681734,zne_rem,zne,True,0.003184191910261036,True,True,0.023225965121543193,0.007226946954681734,zne_rem,zne,True,0.003184191910261036,True,True,0.01808011065300362
octahedron,dev_lagos,9,8,0.0,zne_rem,zne_rem,False,0.006630905026105388,True,True,0.023225965121543193,0.0,zne_rem,zne_rem,False,0.006630905026105388,True,True,0.01808011065300362
octahedron,dev_lagos,10,8,0.0,zne_rem,zne_rem,False,0.002386198049927485,True,True,0.023225965121543193,0.0,zne_rem,zne_rem,False,0.002386198049927485,True,True,0.01808011065300362
octahedron,dev_lagos,11,8,-0.008446149026013566,rem,zne_rem,True,0.0012251194604142174,True,True,0.023225965121543193,-0.008446149026013566,rem,zne_rem,True,0.0012251194604142174,True,True,0.01808011065300362
octahedron,dev_lagos,12,8,0.0,zne_rem,zne_rem,False,0.003151436688175885,True,True,0.023225965121543193,0.0,zne_rem,zne_rem,False,0.003151436688175885,True,True,0.01808011065300362
octahedron,dev_lagos,13,8,0.006393399234960198,rem,zne_rem,True,0.006532019511398965,True,True,0.023225965121543193,0.006393399234960198,rem,zne_rem,True,0.006532019511398965,True,True,0.01808011065300362
octahedron,dev_lagos,14,8,0.0,rem,rem,False,0.0016893244465068236,True,True,0.023225965121543193,0.0,rem,rem,False,0.0016893244465068236,True,True,0.01808011065300362
octahedron,dev_lagos,15,8,-0.004420371975579554,zne_rem,zne,True,0.000853130749803338,True,True,0.023225965121543193,-0.004420371975579554,zne_rem,zne,True,0.000853130749803338,True,True,0.01808011065300362
octahedron,dev_lagos,16,8,-0.004031525926260313,rem,zne_rem,True,0.004957749324747213,True,True,0.023225965121543193,-0.004031525926260313,rem,zne_rem,True,0.004957749324747213,True,True,0.01808011065300362
octahedron,dev_lagos,17,8,0.0,zne_rem,zne_rem,False,0.007467175815872487,True,True,0.023225965121543193,0.0,zne_rem,zne_rem,False,0.007467175815872487,True,True,0.01808011065300362
octahedron,dev_lagos,18,8,0.0,zne_rem,zne_rem,False,0.005183702788736394,True,True,0.023225965121543193,0.0,zne_rem,zne_rem,False,0.005183702788736394,True,True,0.01808011065300362
